IN	OUT
P̃	P
Ṗ	P
P̶	P
Ᵽ	P
Ƥ	P
ƣ	q
q̶	q
ʠ	q
ɋ	q
Ƣ	Q
Q̶	Q
Ɋ	Q
ŕ	r
ř	r
ṙ	r
ŗ	r
r̶	r
ȑ	r
ȓ	r
ṛ	r
ṝ	r
ṟ	r
ɍ	r
ᵲ	r
ᶉ	r
ɼ	r
ɽ	r
ɾ	r
ᵳ	r
Ŕ	R
Ř	R
Ṙ	R
Ŗ	R
R̶	R
Ȑ	R
Ȓ	R
Ṛ	R
Ṝ	R
Ṟ	R
Ɍ	R
Ɽ	R
ś	s
ṥ	s
ŝ	s
š	s
ṧ	s
ṡ	s
ş	s
s̩	s
s̶	s
ṣ	s
ṩ	s
ș	s
ᵴ	s
ᶊ	s
ʂ	s
ȿ	s
Ś	S
Ṥ	S
Ŝ	S
Š	S
Ṧ	S
Ṡ	S
Ş	S
S̩	S
S̶	S
Ṣ	S
Ṩ	S
Ș	S
ß	ss
ť	t
ẗ	t
ṫ	t
ţ	t
t̶	t
ṭ	t
ț	t
ṱ	t
ṯ	t
ŧ	t
ⱦ	t
ᵵ	t
ƫ	t
ƭ	t
ʈ	t
ȶ	t
Ť	T
T̈	T
Ṫ	T
Ţ	T
T̶	T
Ṭ	T
Ț	T
Ṱ	T
Ṯ	T
Ŧ	T
Ⱦ	T
Ƭ	T
Ʈ	T
ð	th
þ	th
Ð	Th
Þ	Th
ú	u
ù	u
ŭ	u
û	u
ǔ	u
ů	u
ǘ	u
ǜ	u
ǚ	u
ǖ	u
ű	u
ũ	u
ṹ	u
ų	u
ū	u
ṻ	u
u̶	u
ủ	u
ȕ	u
ȗ	u
ư	u
ứ	u
ừ	u
ữ	u
ử	u
ự	u
ụ	u
ṳ	u
ṷ	u
ṵ	u
ʉ	u
ᵾ	u
ᶙ	u
Ú	U
Ù	U
Ŭ	U
Û	U
Ǔ	U
Ů	U
Ǘ	U
Ǜ	U
Ǚ	U
Ǖ	U
Ű	U
Ũ	U
Ṹ	U
Ų	U
Ū	U
Ṻ	U
U̶	U
Ủ	U
Ȕ	U
Ȗ	U
Ư	U
Ứ	U
Ừ	U
Ữ	U
Ử	U
Ự	U
Ụ	U
Ṳ	U
Ṷ	U
Ṵ	U
Ʉ	U
ü	ue
Ü	Ue
ṽ	v
v̶	v
ṿ	v
ᶌ	v
ʋ	v
ⱱ	v
ⱴ	v
Ṽ	V
V̶	V
Ṿ	V
Ʋ	V
ẃ	w
ẁ	w
ŵ	w
ẘ	w
ẅ	w
ẇ	w
w̶	w
ẉ	w
ⱳ	w
Ẃ	W
Ẁ	W
Ŵ	W
W̊	W
Ẅ	W
Ẇ	W
W̶	W
Ẉ	W
Ⱳ	W
x́	x
x̂	x
x̌	x
ẍ	x
ẋ	x
x̧	x
x̶	x
x̣	x
x̱	x
ᶍ	x
X́	X
X̂	X
X̌	X
Ẍ	X
Ẋ	X
X̧	X
X̶	X
X̣	X
X̱	X
ý	y
ỳ	y
ŷ	y
ẙ	y
ÿ	y
ỹ	y
ẏ	y
ȳ	y
y̶	y
ỷ	y
ỵ	y
ʏ	y
ɏ	y
ƴ	y
Ý	Y
Ỳ	Y
Ŷ	Y
Y̊	Y
Ÿ	Y
Ỹ	Y
Ẏ	Y
Ȳ	Y
Y̶	Y
Ỷ	Y
Ỵ	Y
Ɏ	Y
Ƴ	Y
ź	z
ẑ	z
ž	z
ż	z
z̶	z
ẓ	z
ẕ	z
ƶ	z
ᵶ	z
ᶎ	z
ȥ	z
ʐ	z
ʑ	z
ɀ	z
ⱬ	z
Ź	Z
Ẑ	Z
Ž	Z
Ż	Z
Z̶	Z
Ẓ	Z
Ẕ	Z
Ƶ	Z
Ȥ	Z
Ⱬ	Z
